sample,age,sex,self1,self2,self3,self4,self5,self6,self7,self8,self9,self10,agegr_us,extraver,mean,nation,agegroup,sumscore
1,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
2,nurses_international,NA,NA,exactly true,moderately true,exactly true, exactly true, exactly true,exactly true,exactly true, moderately true, exactly true,exactly true,NA,NA,3.8,Belgium,NA,38
3,nurses_international,NA,NA,barely true,barely true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
4,nurses_international,NA,NA,exactly true,barely true,exactly true,moderately true, exactly true,exactly true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.5,Belgium,NA,35
5,nurses_international,NA,NA,exactly true,moderately true,exactly true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.2,Belgium,NA,32
6,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
7,nurses_international,NA,NA,moderately true,moderately true,exactly true,moderately true,moderately true,moderately true,exactly true, exactly true, moderately true, moderately true,NA,NA,3.3,Belgium,NA,33
8,nurses_international,NA,NA,exactly true,moderately true,barely true,moderately true, exactly true,exactly true,exactly true, moderately true, moderately true, moderately true,NA,NA,3.3,Belgium,NA,33
9,nurses_international,NA,NA,moderately true,barely true,exactly true, exactly true, exactly true,exactly true,exactly true, moderately true, moderately true, moderately true,NA,NA,3.4,Belgium,NA,34
10,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true, exactly true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
11,nurses_international,NA,NA,moderately true,moderately true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
12,nurses_international,NA,NA,moderately true,barely true,barely true,moderately true,moderately true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
13,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true,barely true, moderately true,NA,NA,2.9,Belgium,NA,29
